番号,単語,意味,解説文
718,admire,に敬服する，感心する,
723,attribute,（結果など）を（～に）帰する,
730,assist,（を）援助する；を手伝う,
739,assign,を割り当てる；を配属する,
740,accomplish,を成し遂げる,
752,agent,仲介者，代理人；薬剤,
779,artistic,芸術的な,
791,apparent,明白な；一見～らしい,
799,adequate,十分な；適切な,
801,assess,を評価する；を査定する,
802,approve,賛成する；を承認する,
813,apologize,（～に；～のことで）謝る；弁明する,
848,asteroid,小惑星；ヒトデ,
862,architecture,建築；建築様式；構造,
877,administration,管理（部）；行政；政府（機関）,
885,Arctic,北極の,
923,anticipate,を予期する；楽しみに待つ,
952,abuse,乱用；虐待,
957,allergy,アレルギー,
959,antibiotic,抗生物質,
978,ambition,（～に対する）願望，野望；野心,
985,alert,警戒して；敏速な,
991,awful,ひどい；嫌な；ものすごい,
1004,arrest,を逮捕する；を止める；（注意）を引く,
1031,astonish,を驚かす,
1051,adolescent,青年；青年期の,
1093,awkward,気まずい；ぎこちない；厄介な,
1108,accumulate,を蓄積する，集める；積もる,
1110,advocate,を主張する；を擁護する,
1122,accuse,を非難する；を告訴する,
1181,acid,酸性の；酸っぱい；辛辣な,
1190,aboriginal,アボリジニの；原生の，先住の,
1192,abundant,豊富な；（～に）富む,
1205,accelerate,を加速させる，促進する；加速する,
1206,accustom,（人）を慣れさせる,
1207,amuse,をおもしろがらせる，楽しませる,
1242,appetite,食欲；欲求,
1245,anniversary,（～周年）記念日,
1257,acquaintance,知人；面識；知識,
1278,asset,資産；価値のあるもの；利点,
1286,aesthetic,美的な；美学の,
1293,ashamed,恥じて,
1301,assure,に自信を持って言う；を保証する,
1325,assert,を主張する,
1333,assemble,を集める；を組み立てる；集まる,
1347,agenda,協議事項（リスト）；議事日程（表）；（政治上の）課題,
1372,aisle,（座席間などの）通路,
1386,ambiguous,あいまいな；多義的な,
1406,attain,を獲得する，達成する；に達する,
1433,abolish,を廃止する,
1464,ally,同盟国；提携者；援助者；盟友,
1486,acute,（痛み・感情などが）激しい；（知覚などが）鋭い；急性の,
1490,alternate,代わりの；交互の,
1515,accommodate,を収容する；を適応させる,
1526,appoint,を任命する；（日時・場所など）を指定する,
1539,awaken,を目覚めさせる；（～から）覚める,
1552,algorithm,アルゴリズム；問題解決の手順,
1580,authentic,本物の；信頼できる,
1583,absurd,ばかげた；不合理な,
1585,accidental,偶然の；過失による,
1600,affluent,裕福な；豊富な,
1611,addict,（～の）中毒になる；（～に）凝る,
1639,aspire,（～を）熱望する,
1651,autonomy,（個人の）自律；自治（権）；自治体,
1656,arithmetic,計算；算数,
1658,archive,記録文書，公文書；公文書保管所；アーカイブ,
1660,anthropology,人類学,
1670,astronomy,天文学,
1672,altitude,高度，標高,
1683,adverse,不都合な；逆の,
1686,arbitrary,恣意的な；独断的な,
1687,anonymous,匿名の,
1688,antique,骨董の，アンティークの；古風な,
1696,apt,（...する）傾向がある；適切な；利発な,
1697,arrogant,横柄な，傲慢な,
1736,await,を待つ,
1744,analogy,類推；類似,
1792,acoustic,音響の；聴覚の；（楽器が）アコースティックの,
1794,approximate,おおよその,
1798,ample,十分すぎるほどの；広い,
1806,assault,に暴行する；を攻撃する,
1811,arouse,（感情など）を引き起こす；を目覚めさせる,
1823,allocate,を割り当てる，分配する,
1836,allege,を主張する,
1839,ascend,（を）上がる,
1841,advent,（～の）出現，到来,
1854,archaeology,考古学,
1864,attorney,弁護士；代理人,
1883,abrupt,突然の,
