番号,単語,意味,解説文
799,adequate,十分な；適切な；（要求を満たすだけの）量［質］がある,"「あり余るほど豊富」ではなく、「必要最低限の基準を満たしていて十分な」というニュアンス。対義語は inadequate（不十分な、不適切な）。"
801,assess,〜を評価する；〜を査定する,"価値や影響、能力などを慎重に測るという意味。evaluateやtaxの査定などに近いです。派生語：assessment（名：評価、アセスメント）。"
802,approve,賛成する；〜を承認する；〜を認める,"重要フレーズ：approve of ~（〜に賛成する ※自動詞の用法）、approve the plan（計画を承認する ※他動詞の用法）。対義語は disapprove（反対する）。派生語：approval（名：承認）。"
813,apologize,謝る；お詫びする,"自動詞なので「誰に」「何について」謝るかで前置詞が変わります。重要フレーズ：apologize to A for B（BのことでAに謝る）。派生語：apology（名：謝罪）。"
848,asteroid,小惑星,"火星と木星の軌道の間を公転しているような小さな天体（小惑星）を指します。宇宙科学系の長文読解でたまに登場する専門単語です。"
862,architecture,建築；建築学；構造,"建物そのものを指す building に対し、学問や芸術としての「建築（技術・様式）」やシステムの「構造」を指します。派生語：architect（名：建築家）、architectural（形：建築上の）。"
877,administration,管理（部）；行政；政府（機関）,"重要フレーズ：the Obama administration（オバマ政権）のように「〜政権」を指す際によく使われます。派生語：administer（動：〜を管理・運営する）。"
885,Arctic,北極の,"対義語は Antarctic（南極の）。重要フレーズ：the Arctic Ocean（北極海）。頭文字は大文字で書かれることが多いです。地球温暖化の長文などで頻出します。"
923,anticipate,〜を予期する；楽しみに待つ,"expectに近い「予期する」のほか、look forward toに近い「楽しみに待つ」という意味もあります。後ろに動詞がくる場合は動名詞（anticipate doing）をとる点に注意。派生語：anticipation（名：予期、期待）。"
952,abuse,乱用；虐待；〜を乱用する；〜を虐待する,"重要フレーズ：child abuse（児童虐待）、drug abuse（薬物乱用）。ab（離れて）＋ use（使う）から「正しくない使い方をする」というニュアンスになります。"
957,allergy,アレルギー,"重要フレーズ：have an allergy to ~（〜へのアレルギーがある）。形容詞形の allergic も重要で、be allergic to ~（〜アレルギーである）のフレーズで頻出します。"
959,antibiotic,抗生物質,"医学や生物学をテーマにした長文でよく使われる重要単語です。anti（対抗する）＋ biotic（生命の）という語源から「細菌の増殖を抑える薬」を指します。"
978,ambition,（〜に対する）願望；野望；野心,"将来の強い夢や大きな目標を指します。重要フレーズ：achieve one's ambition（野望を果たす）。派生語：ambitious（形：野心的な、大望を抱いた）。"
985,alert,警戒して；敏速な；警報,"重要フレーズ：be alert to ~（〜を警戒している・に油断がない）。名詞として「警戒警報（weather alertなど）」、動詞として「〜に警告する」という意味もあります。"
991,awful,ひどい；嫌な；ものすごい,"badをさらに強調した表現で、It's awful.（最悪だ）のように口語でもよく使われます。副詞形の awfully は「もの凄く、大変（veryの強調）」という意味になります。"
1004,arrest,〜を逮捕する；〜を止める；逮捕,"重要フレーズ：be arrested for shoplifting（万引きで逮捕される）、under arrest（逮捕されて）。「動きを止める」「（注意）を惹きつける」という意味もあります。"
1031,astonish,〜を驚かせる,"surpriseやamazeよりもさらに強い驚きを表します。感情動詞なので be astonished at [by] ~（〜にひどく驚く）という受動態の形で覚えるのが基本です。派生語：astonishment（名：驚き）。"
1051,adolescent,青年；思春期の若者；青年期の,"子どもから大人へと成長する途中の、およそ10代前半〜後半の若者を指します。派生語：adolescence（名：思春期・青春期）。"
1093,awkward,気まずい；ぎこちない；厄介な,"重要フレーズ：an awkward silence（気まずい沈黙）。動作がぎこちない、状況が扱いにくくて「気まずい・不格好な」というニュアンスを表します。"
1108,accumulate,〜を蓄積する；集める；積もる,"時間をかけて徐々に「お金や知識、ゴミなどが溜まる（溜める）」という意味。派生語：accumulation（名：蓄積・堆積）。"
1110,advocate,〜を主張する；〜を擁護する；支持者；提唱者,"公共の場や政治的な文脈で、特定の意見や権利を「強く主張する・支持する」という意味。重要フレーズ：advocate for human rights（人権を主張する）。"
1122,accuse,〜を非難する；〜を告訴する,"超重要フレーズ：accuse A of B（BのことでAを非難する・告訴する）。前置詞に of を使う点が文法問題で非常によく狙われます。派生語：accusation（名：非難、告訴）。"
1181,acid,酸性の；酸っぱい；辛辣な；酸,"重要フレーズ：acid rain（酸性雨）。科学的な「酸性」という意味のほか、言葉などが「辛辣な、とげとげしい」という意味でも使われます。"
1190,aboriginal,アボリジニの；原生の；先住の,"オーストラリアの先住民を指す Aboriginal が有名ですが、一般的に「ある土地に元から住んでいる、土着の」という意味を持ちます。対義語は immigrant（移民の）。"
1192,abundant,豊富な；（〜に）富む,"十分すぎるほど大量にある状態を指します。重要フレーズ：be abundant in ~（〜が豊富である）。派生語：abundance（名：豊富、大量）。"
1205,accelerate,〜を加速させる；促進する；加速する,"車のアクセル（accelerator）の語源。物事の進行やスピードを速める意味で使われます。対義語は decelerate（減速する）。派生語：acceleration（名：加速）。"
1206,accustom,（人）を慣れさせる,"超重要フレーズ：be accustomed to ~ / get accustomed to ~（〜に慣れている）。toは前置詞なので、後ろには名詞か動名詞がきます（be used to ~ とほぼ同義）。"
1207,amuse,〜をおもしろがらせる；楽しませる,"人を笑わせたり、楽しませたりする意味。アミューズメントパーク（amusement park）の語源です。感情動詞なので be amused by ~（〜をおもしろがる）の形でよく使います。"
1242,appetite,食欲；欲求,"重要フレーズ：lose one's appetite（食欲をなくす）。食べ物に対する欲求だけでなく、知識や冒険に対する「強い欲求（appetite for knowledgeなど）」にも使われます。"
1245,anniversary,（〜周年）記念日,"重要フレーズ：wedding anniversary（結婚記念日）。毎年やってくる特定の記念日を指します（個人の誕生日にはあまり使いません）。"
1257,acquaintance,知人；面識；知識,"友達（friend）ほど親しくはないが、顔と名前を知っている「知人」を指します。重要フレーズ：have a passing acquaintance with ~（〜を少し知っている）。"
1278,asset,資産；価値のあるもの；利点,"個人や会社が持つ「財産・資産」という意味だけでなく、チームや組織にとって「役に立つ貴重な人材・強み」という意味でも非常によく使われます。"
1286,aesthetic,美的な；美学の,"美しさや芸術に関する感覚を指す言葉です（日本語のエステティックの語源）。重要フレーズ：aesthetic value（美的な価値）。"
1293,ashamed,恥じて,"自分の行動や状態をみっともなく思い、心の中で「恥ずかしく思っている」状態。重要フレーズ：be ashamed of ~（〜を恥じている）、be ashamed to do（恥ずかしくて〜できない）。"
1301,assure,〜に自信を持って言う；〜を保証する,"相手の不安を解消するために「絶対に大丈夫だと請け合う」ニュアンス。重要フレーズ：assure A of B / assure A that節（AにBを保証する）。派生語：assurance（名：確実、保証）。"
1325,assert,〜を主張する,"証拠が不十分であっても、自分の意見や権利を「自信を持って断固として主張する」という意味。派生語：assertion（名：主張、断言）、assertive（形：積極的な、自己主張する）。"
1333,assemble,〜を集める；〜を組み立てる；集まる,"重要フレーズ：assemble parts（部品を組み立てる）。人や物を1つの場所に「集める」、または部品を「組み立てる」という両方の意味があります。派生語：assembly（名：集会、組み立て）。"
1347,agenda,協議事項（リスト）；議事日程；（政治上の）課題,"会議の「レジュメ・予定表」という意味のほか、政治や社会問題における「取り組むべき優先課題（hidden agenda：隠された意図など）」という意味で長文に出現します。"
1372,aisle,（座席間などの）通路,"乗り物（飛行機や電車）や映画館、スーパーなどの座席間・棚の間の「通路」を指します（発音は「アイル」でsを発音しない点に注意）。重要フレーズ：aisle seat（通路側の座席）。"
1386,ambiguous,あいまいな；多義的な,"複数の解釈ができて、どちらの意味か「はっきりしない、あいまいな」状態を指します。対義語は unambiguous（明白な）または clear。派生語：ambiguity（名：あいまいさ）。"
1406,attain,〜を獲得する；達成する；に達する,"長年の努力やプロセスの末に、目標や高い地位、特定の年齢などに「到達する・手に入れる」という意味。achieveに近いです。派生語：attainment（名：達成、到達）。"
1433,abolish,〜を廃止する,"法律や制度、奴隷制（slavery）などの古い慣習を「（公式に）無くす」という意味で、歴史や社会をテーマにした長文に頻出します。派生語：abolition（名：廃止）。"
1464,ally,同盟国；提携者；盟友,"戦争やビジネス、政治において協力し合う「国や仲間」を指します。重要フレーズ：a close ally（緊密な同盟国）。名詞（アライ）と動詞（アライ）でアクセントの位置が変わることがあります。"
1486,acute,（痛みなどが）激しい；（知覚などが）鋭い；急性の,"重要フレーズ：acute pain（激しい痛み）、acute shortage（深刻な不足）。病気が「急性の（対義語：chronic 慢性の）」という意味でも医療系の長文に出ます。"
1490,alternate,代わりの；交互の,"重要フレーズ：alternate days（隔日、1日おき）。2つのものが順番に入れ替わるニュアンスです。名詞形の alternative（選択肢、代わりの手段）も超重要。"
1515,accommodate,〜を収容する；（要求などに）適応させる,"ホテルや建物が「（人数）を宿泊させる、収容できる」という意味が基本（accommodationは宿泊施設）。また、他人の意見や状況に「融通を利かせて合わせる」という意味もあります。"
1526,appoint,〜を任命する；（日時など）を指定する,"重要フレーズ：appoint him as manager（彼をマネージャーに任命する）。役職につける意味のほか、日時を決める（make an appointment：約束をする）の動詞形です。派生語：appointment（名：任命、予約）。"
1539,awaken,〜を目覚めさせる；（〜から）覚める,"wake upに近い表現ですが、より文学的・抽象的に「（感情や自覚を）呼び起こす、目覚めさせる」という意味で使われます。活用は awaken - awakened - awakened。"
1552,algorithm,アルゴリズム；問題解決の手順,"ITや数学の分野で、特定の計算や問題を解決するための「計算手順・処理手順」を指します。現代のテクノロジー関連の長文で非常によく見かける単語です。"
1580,authentic,本物の；信頼できる,"偽物（fake）ではなく、出所が確かで「本物の、真正の」という意味。重要フレーズ：authentic Italian food（本物のイタリア料理）。派生語：authenticity（名：確実性、本物であること）。"
1583,absurd,ばかげた；不合理な,"理性に反していて「ばかばかしい、話にならない」という意味。重要フレーズ：an absurd idea（ばかげた考え）。派生語：absurdity（名：不合理、ばかげたこと）。"
1585,accidental,偶然の；予定外の,"重要フレーズ：an accidental discovery（偶然の発見）。名詞の accident（事故、偶然の出来事）の形容詞形です。副詞形の accidentally（偶然に、うっかり）も超重要。"
1600,affluent,裕福な；豊かな,"richよりも硬い表現で、経済的に非常に恵まれている状態を指します。重要フレーズ：an affluent society（豊かな社会）。派生語：affluence（名：富、豊かさ）。"
1611,addict,中毒者；〜に夢中な人；〜を中毒にさせる,"重要フレーズ：a smartphone addict（スマホ中毒の人）、be addicted to ~（〜の中毒になっている・依存している ※toは前置詞）。派生語：addiction（名：依存症、中毒）。"
1639,aspire,〜を熱望する；高い志を持つ,"重要フレーズ：aspire to be a doctor（医師になることを熱望する）。高い目標に向かって強く望むニュアンス。派生語：aspiration（名：熱望、志）、aspiring（形：〜を目指している）。"
1651,autonomy,自律（性）；自治（権）；自治体,"他からの支配を受けず、自分で自分をコントロールすること。重要フレーズ：regional autonomy（地方自治）。auto（自身の）＋ nomy（法・規則）という語源です。"
1656,arithmetic,算数；計算,"数学（mathematics）の基礎となる「足し算・引き算・掛け算・割り算（四則演算）」や「算数」の科目を指します。重要フレーズ：mental arithmetic（暗算）。"
1658,archive,記録文書（保管所）；公文書；アーカイブ,"歴史的な記録やデータ、公文書などを長期間にわたって安全に保存する場所やそのデータを指します。現代ではIT用語（データの長期保存）としてもおなじみです。"
1660,anthropology,人類学,"人間の文化、社会、生物学的特徴、歴史などを総合的に研究する学問。anthro（人間）＋ logy（学問）という語源です。派生語：anthropologist（名：人類学者）。"
1670,astronomy,天文学,"星や宇宙、天体を研究する自然科学の分野。重要フレーズ：astronomy department（天文学部）。派生語：astronomer（名：天文学者）、astronautical（形：宇宙飛行の）。"
1672,altitude,高度；標高,"海抜からの「高さ」を指します（飛行機の飛行高度や山の標高など）。重要フレーズ：at a high altitude（高地で、高い高度で）。"
1683,adverse,不都合な；逆の；不利な,"自分にとって状況が良くない、不利に働くという意味。重要フレーズ：adverse weather conditions（悪天候）、adverse effects（悪影響、副作用）。派生語：adversity（名：逆境）。"
1686,arbitrary,恣意的な；独断的な；気まぐれな,"論理的な理由がなく、個人の思いつきや好みに任せて「勝手に決める」ニュアンス。重要フレーズ：an arbitrary decision（独断的な決定）。派生語：arbitrarily（副：恣意的に）。"
1687,anonymous,匿名の；作者不明の,"名前が公表されていない、誰だか分からない状態。重要フレーズ：an anonymous donation（匿名の寄付）。an（無い）＋ onym（名前）という語源です。派生語：anonymity（名：匿名性）。"
1688,antique,骨董の；アンティークの；古風な；骨董品,"単に古いだけでなく、美術的・歴史的な価値がある古い家具や小物を指します。対義語は modern（現代の）。名詞としても使えます。"
1696,apt,〜しがちである；適切な；利発な,"超重要フレーズ：be apt to do（〜しがちである、〜する傾向がある ※be likely to do に近い）。aptly（副：適切に）という派生語も重要です。"
1697,arrogant,横柄な；傲慢な,"自分が他人より優れていると思い込んでいて、態度が威張っていること。対義語は humble（謙虚な）。派生語：arrogance（名：傲慢さ）。"
1736,await,〜を待つ,"wait for ~ とほぼ同じ意味ですが、awaitは他動詞なので await for ~ とは言わず、後ろに直接目的語（await the results：結果を待つ）を置きます。"
1744,analogy,類推；類似点；比喩,"ある物事を説明するために、別の似た物事を引き合いに出して説明（比較）すること。重要フレーズ：draw an analogy between A and B（AとBの類似点を指摘する）。"
1792,acoustic,音響の；聴覚の；（楽器が）アコースティックの,"音の響きや聴覚に関する言葉。電気的な増幅をしない生の楽器（acoustic guitarなど）を指す際にもよく使われます。派生語：acoustics（名：音響学、響き）。"
1794,approximate,おおよその；近似の；〜に近づく,"正確ではないが、それに非常に近い状態。重要フレーズ：approximate cost（概算費用）。副詞形の approximately（およそ、約 ※数字の前によくつく）は超頻出。"
1798,ample,十分すぎるほどの；広い,"必要十分な量を超えて、ゆとりがあるほど「たっぷりある」というニュアンス。重要フレーズ：ample time（十分な時間）。enoughやplentiful ofの類義語です。"
1806,assault,〜に暴行する；〜を激しく攻撃する；暴行；攻撃,"他人に怪我をさせるような肉体的な「激しい襲撃・暴行」を指します。重要フレーズ：sexual assault（性的暴行）。動詞・名詞どちらも同じ形で使われます。"
1811,arouse,（感情など）を引き起こす；〜を目覚めさせる,"人の中に眠っている興味、疑惑、怒りなどの感情を「かき立てる」という意味。重要フレーズ：arouse suspicion（疑惑を招く）。他動詞（arouse - aroused - aroused）です。"
1823,allocate,〜を割り当てる；分配する,"予算や時間、人員などを特定の目的のために「配分する」という意味。重要フレーズ：allocate funds for the project（プロジェクトに資金を割り当てる）。派生語：allocation（名：配分、割り当て）。"
1836,allege,（証拠なしに）〜だと主張する；〜と言い張る,"事実かどうかまだ確定していない段階で、特に裁判やニュースなどで「〜だと申し立てる」という意味で使われます。派生語：alleged（形：〜とされる、申し立てられた）。"
1839,ascend,（山などに）登る；（階段などを）上がる,"対義語は descend（下りる）。重要フレーズ：ascend the mountain（山を登る）。飛行機が上昇する際などにも使われます。派生語：ascent（名：上昇、登ること）。"
1841,advent,（重要な人・物の）出現；到来,"歴史を大きく変えるような画期的な技術や出来事が「世に現れること」を指します。重要フレーズ：the advent of the internet（インターネットの到来）。"
1854,archaeology,考古学,"遺跡や遺物を発掘して過去の人類の歴史を研究する学問。重要フレーズ：underwater archaeology（水中考古学）。派生語：archaeologist（名：考古学者）、archaeological（形：考古学の）。"
1864,attorney,弁護士；代理人,"lawyer（弁護士）のよりフォーマルな表現で、特にアメリカの法的な手続きや裁判の文脈で多用されます。重要フレーズ：attorney general（司法長官）。"
1883,abrupt,突然の；不意の；ぶっきらぼうな,"予期せぬタイミングで急に起こる様子。重要フレーズ：an abrupt change（突然の変化）。副詞形の abruptly（突然に、不意に）も読解でよく狙われます。"
